title,artist,lyrics,lyrics_len,title_clean,artist_clean
Papaoutai,Stromae,"130 ContributorsTranslationsPortuguêsItalianoالعربيةΕλληνικάEnglishDeutschRomânăPolskiTürkçePapaoutai Lyrics“Papaoutai” est le deuxième single du deuxième album de Stromae, sorti le 13 Mai 2013.
C'est une chanson qui traite de l'absence du père. Papaoutai = “Papa où t'es ?”. Et pour cause, le père de Stromae est… Read More 

Dites-moi d'où il vient
Enfin je saurai où je vais
Maman dit que lorsqu'on cherche bien
On finit toujours par trouver
Elle dit qu'il n'est jamais très loin
Qu'il part très souvent travailler
Maman dit ""travailler c'est bien""
Bien mieux qu'être mal accompagné
Pas vrai ?

Où est ton papa ?
Dis-moi où est ton papa ?
Sans même devoir lui parler
Il sait ce qui ne va pas
Ah sacré papa
Dis-moi où es-tu caché ? Ça doit
Faire au moins mille fois que j'ai
Compté mes doigts, hey

Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, où t'es où, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, où t'es où, papaoutai ?

Où t'es

Quoi, qu'on y croit ou pas
Y aura bien un jour où on n'y croira plus
Un jour ou l'autre on sera tous papa
Et d'un jour à l'autre on aura disparu
Serons-nous détestables ?
Serons-nous admirables ?
Des géniteurs ou des génies ?
Dites-nous qui donne naissance aux irresponsables ?
Ah dites-nous qui, tiens
Tout le monde sait comment on fait des bébés
Mais personne sait comment on fait des papas
Monsieur Je-sais-tout en aurait hérité, c'est ça
Faut l'sucer d'son pouce ou quoi ?
Dites-nous où c'est caché, ça doit
Faire au moins mille fois qu'on a
Bouffé nos doigts, hey

Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, où t'es où, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, où t'es où, papaoutai ?

Où t'es

Où est ton papa ?
Dis-moi où est ton papa ?
Sans même devoir lui parler
Il sait ce qui ne va pas
Ah sacré papa
Dis-moi où es-tu caché ? Ça doit
Faire au moins mille fois que j'ai
Compté mes doigts, hey
Où est ton papa ?
Dis-moi où est ton papa ?
Sans même devoir lui parler
Il sait ce qui ne va pas
Ah sacré papa
Dis-moi où es-tu caché ? Ça doit
Faire au moins mille fois que j'ai
Compté mes doigts, hey

Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, où t'es où, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, papaoutai ?
Où t'es, où t'es où, papaoutai ?

Où t'es",2380.0,papaoutai,stromae
I Knew You Were Trouble.,Taylor Swift,"129 ContributorsTranslationsEspañolPortuguêsFrançaisČeskyCatalàDeutschI Knew You Were Trouble LyricsTaylor Swift expresses her guilt in “I Knew You Were Trouble” due to a relationship destined to fail. With its sound playing between electropop and dubstep, this song marks the significant period in which… Read More 

Once upon a time, a few mistakes ago
I was in your sights, you got me alone
You found me, you found me
You found me-e-e-e-e
I guess you didn't care and I guess I liked that
And when I fell hard, you took a step back
Without me, without me
Without me-e-e-e-e

And he's long gone when he's next to me
And I realize the blame is on me

'Cause I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
Now, I'm lying on the cold, hard ground

Oh, oh-oh
Trouble, trouble, trouble
Oh, oh-oh
Trouble, trouble, trouble

No apologies, he'll never see you cry
Pretends he doesn't know that he's the reason why
You're drowning, you're drowning
You're drowning-ing-ing-ing-ing
And I heard you moved on from whispers on the street
A new notch in your belt is all I'll ever be
And now, I see, now, I see
Now, I see-e-e-e-e

He was long gone when he met me
And I realize the joke is on me, yeah

I knew you were trouble when you walked in (Oh)
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (Yeah)
Now, I'm lying on the cold, hard ground

Oh, oh-oh
Trouble, trouble, trouble (Yeah, trouble)
Oh, oh-oh
Trouble, trouble, trouble

And the saddest fear
Comes creeping in
That you never loved me
Or her, or anyone, or anything, yeah

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (Never been)
'Til you put me down, oh
I knew you were trouble when you walked in (Knew it right there)
So shame on me now (Knew it right there)
Flew me to places I'd never been (Ooh)
Now, I'm lying on the cold, hard ground

Oh, oh-oh
Trouble, trouble, trouble (Oh)
Oh, oh-oh
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble",2347.0,i knew you were trouble.,taylor swift
22,Taylor Swift,"95 ContributorsTranslationsEspañolPortuguêsČeskyCatalàDeutschFrançais22 LyricsThe sixth track on Red finds Taylor Swift celebrating her early twenties by having some (reckless) fun.
The song was written when Taylor Swift celebrated her 22nd birthday. The hidden message in the album… Read More 
It feels like a perfect night
To dress up like hipsters
And make fun of our exes
Uh-uh, uh-uh
It feels like a perfect night
For breakfast at midnight
To fall in love with strangers
Uh-uh, uh-uh

Yeah
We're happy, free, confused and lonely at the same time
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the deadlines
It's time, oh-oh

I don't know about you
But I'm feeling twenty-two
Everything will be alright if
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if
We just keep dancing like we're
Twenty-two, twenty-two

It seems like one of those nights
This place is too crowded
Too many cool kids
Uh-uh, uh-uh (Who's Taylor Swift, anyway? Ew)
It seems like one of those nights
We ditch the whole scene
And end up dreamin'
Instead of sleeping

Yeah
We're happy, free, confused and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, oh-oh

(Hey!) I don't know about you
But I'm feeling twenty-two
Everything will be alright if (Ooh)
You keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright if (Alright)
We just keep dancing like we're
Twenty-two (Oh-oh-oh-oh, oh), twenty-two (I don't know about you)
Twenty-two, twenty-two (Ooh)

It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleepin'
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you (You)
Woah, ooh, yeah, eh-yeah

(Hey!) I don't know about you (I don't know about you)
But I'm feeling twenty-two
Everything will be alright if (Ooh)
You keep me next to you
You don't know about me (You don't know about me)
But I'll bet you want to
Everything will be alright if
We just keep dancing like we're (Dancing like we're twenty-two)
Twenty-two (Woah-oh), twenty-two (Dancing like)
Twenty-two (Yeah, yeah), twenty-two (Yeah, yeah, yeah)

It feels like one of those nights (Twenty-two)
We ditch the whole scene
It feels like one of those nights (Twenty-two)
We won't be sleeping
It feels like one of those nights (Twenty-two)
You look like bad news
I gotta have you
I gotta have you",2526.0,22,taylor swift
Everything Has Changed,Taylor Swift,"70 ContributorsTranslationsEspañolPortuguêsFrançaisEverything Has Changed Lyrics“Everything Has Changed” is a song about realizing your life has flipped upside down after falling for someone new. The track appears on Taylor’s fourth album, Red, and features vocals from her close friend… Read More 
(You good to go?)

All I knew this morning when I woke
Is I know something now
Know something now I didn't before
And all I've seen since 18 hours ago
Is green eyes and freckles and your smile
In the back of my mind, making me feel like

I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

And all my walls stood tall, painted blue
And I'll take 'em down, take 'em down
And open up the door for you
And all I feel in my stomach is butterflies
The beautiful kind, making up for lost time
Taking flight, making me feel right
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

Come back and tell me why
I'm feeling like I've missed you all this time
And meet me there tonight
And let me know that it's not all in my mind
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

All I know is we said, ""Hello""
So dust off your highest hopes
All I know is pouring rain
And everything has changed
All I know is a new found grace
All my days, I'll know your face
All I know since yesterday
Is everything has changed",2482.0,everything has changed,taylor swift
Chocolate,The 1975,"112 ContributorsTranslationsPolskiPortuguêsChocolate LyricsPeaking at #19 on the UK Singles Chart and becoming certified 2x Platinum in the United States, “Chocolate” is arguably The 1975’s most well-known song. The song’s popularity gave the band their first radio… Read More 
Hey now, call it a split because I know that you will
Oh-oh, you bite your friend like chocolate
You said we go where nobody know
With guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no
Now we run, run away from the boys in the blue
Oh, my car smells like chocolate
Hey now, I think about what to do
I think about what to say, I think about how to think
Pause it, play it, pause it, play it, pause it

Oh, we go where nobody know
With guns hidden under our petticoats
No, we're never gonna quit it, no, we're never gonna quit it, no
Yeah, we're dressed in black from head to toe
We got guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no

Now you're never gonna quit it, now you're never gonna quit it
Now you're never gonna quit it if you don't stop smoking it
That's what she said
She said we're dressed in black, head to toe
With guns hidden under our petticoat
Mm, we're never gonna quit it, no, we're never gonna quit it, no

Hey now, we're building up speed as we're approaching the hill
Oh, my hair smells like chocolate
Hey now, you say you're gonna quit it, but you're never gonna quit it
Go get it, go get it, go get it, go get it, go
And play it cool

Oh, you said we go where nobody know
With guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no
Yeah, we're dressed in black from head to toe
We got guns hidden under our petticoat
We're never gonna quit it, no, we're never gonna quit it, no

Well, I think we better go
Seriously better go
Said the feds are here, you know
Seriously better go
Oh no, well, I think we better go
Said the feds are here, you know
Said Rebecca better know
Seriously better go

(Hey)
We go where nobody know
Guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no
Yeah, we're dressed in black from head to toe
Guns hidden under our petticoat
No, we're never gonna quit it, no, we're never gonna quit it, no, no, no

Well, I think we better go
Seriously better go
Said the feds are here, you know
Seriously better go
Well, I think we better go
Said the feds are here, you know
Said Rebecca better know
Seriously better go",2514.0,chocolate,the 1975
Ho Hey,The Lumineers,"48 ContributorsTranslationsDeutschPortuguêsHo Hey LyricsRanked at #36 in United States
Wesley Schultz is trying to do the right things the right way, whether it’s in a relationship or in life in general. Although he does say, “it”, which might means he’s trying to… Read More 
Ho! Hey!
Ho! Hey!
Ho!

I've been tryin' to do it right (Hey!)
I've been livin' a lonely life (Ho!)
I've been sleepin' here instead (Hey!)
I've been sleepin' in my bed (Ho!)
Sleepin' in my bed (Hey! Ho! Ho!)

So show me family (Hey!)
All the blood that I would bleed (Ho!)
I don't know where I belong (Hey!)
I don't know where I went wrong (Ho!)
But I can write a song (Hey!)

(One, two, three)
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweet—
Ho! Hey! (Come on, now)
Ho! He-hey! (Woo)
Ho!

I don't think you're right for him (Hey!)
Look at what it might have been if you (Ho!)
Took a bus to China Town (Hey!)
I'd be standin' on Canal (Ho!)
And Bowery (Hey! Ho!)
She'd be standin' next to me (Hey!)

(One, two, three)
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweetheart

Love, we need it now
Let's hope for some
'Cause oh, we're bleedin' out

I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweet—
Ho! Hey!
Ho! (Last one) Hey!",1392.0,ho hey,the lumineers
Sweater Weather,The Neighbourhood,"205 ContributorsTranslationsTürkçePortuguêsDanskРусский (Russian)PortuguêsFrançaisDeutschČeskyPolskiالعربيةItalianoSweater Weather Lyrics“Sweater Weather” is the lead single from The Neighbourhood’s 2012 debut EP I’m Sorry…, and also features on their debut full-length album I Love You.
“Sweater Weather” is one of The Neighbourhood’s most… Read More 
And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour

Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater

And it's too cold, it's too cold
The holes of my sweater",2060.0,sweater weather,the neighbourhood
What About Us,The Saturdays,"13 ContributorsWhat About Us Lyrics“What About Us” is featured on The Saturdays 4th studio album Living For The Weekend and their American-only EP Chasing the Saturdays. It was released as their 14th single and reached a peak of #1 on the UK… Read More 
Oh why are we are waiting so long, I'm suffocating
Oh why are we are waiting so long, I'm suffocating

Boy it's now or never, time we got together
Been a long time coming, now I need that loving
I like the way you tease me, but let's just make this easy
Put me in control, we could switch roles

And I'll take the lead
You're so far behind me
You know what I need
I'm not gonna stop

Whatever the weather, we're gon' be better together
So what's up baby? What about us?
'Cause I've been watching and waiting
Why don't you give in and take it?
So what's up baby? What about us?

What you doing to my head? Na na na na na
Should be here with me instead, na na na na na
What about those words you said? Na na na na na
What about us? (What about u-u-u-u-us-s)

Oh why are we are waiting so long, I'm suffocating
Oh why are we are waiting so long, I'm suffocating

I love to hear you whisper, take it, take it lower
Don't be afraid to show her what your freak can do
'Cause we can do it nightly, you get me excited
Now it's my turn, turn, tu-, yes it's my turn

So give it to me
Why are we waiting?
I know what you need
And I'm not gonna stop

Whatever the weather, we're gon' be better together
So what's up baby? What about us?
'Cause I've been watching and waiting
Why don't you give in and take it?
So what's up baby? What about us?

What you doing to my head? Na na na na na
Should be here with me instead, na na na na na
What about those words you said? Na na na na na
What about us?

What about u-u-u-u-us?
What about u-u-u-u-us?
What about u-u-u-u-us?
What about u-u-u-u-us? Hey

Whatever the weather, we're gon' be better together
So what's up baby? What about us? (What about us?)
'Cause I've been watching and waiting (Yeah)
Why don't you give in and take it? (Oh)
So what's up baby? What about us?

What you doing to my head? Na na na na na
Should be here with me instead, na na na na na
What about those words you said? Na na na na na
What about us? (What about us?)

Let me take the lead, na na na na na
You know what I need, na na na na na
Put my mind at ease (Oh-ooh)
And tell me what about us?
What about us?",2374.0,what about us,the saturdays
Another Love,Tom Odell,"113 ContributorsTranslationsالعربيةDeutschPortuguêsFrançaiso‘zbekTürkçeEspañolItalianoAnother Love LyricsIn an interview, Tom Odell explains:
“Another Love” is a confusing one; it’s not a traditional love song. The song, for me, is about trying—really trying with all your heart—to be with someone else and you… Read More 
I wanna take you somewhere so you know I care
But it's so cold and I don't know where
I brought you daffodils in a pretty string
But they won't flower like they did last spring
And I wanna kiss you, make you feel alright
I'm just so tired to share my nights

I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh
Oh

And if somebody hurts you, I wanna fight
But my hand's been broken one too many times
So I'll use my voice, I'll be so fucking rude
Words, they always win, but I know I'll lose
And I'd sing a song that'd be just ours
But I sang 'em all to another heart

And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up

Oh
Oh
(Oh, need a love, now)
(My heart is thinking of)

I wanna sing a song that'd be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna fall in love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
Up",1748.0,another love,tom odell
Bad (feat. Rihanna) - Remix,Wale,"69 ContributorsBad (Remix) LyricsAlong with more synthesized production, Rihanna replaces Tiara Thomas on the hook for the offical remix of Wale’s “Bad.” Both the original version of the song and this remix appear on The Gifted.
I heard about you
You heard about me?
Haha, yeah, Wal, haha
Cause I had some issues
Wal, haha, back at ya, bad girl

Is it bad that I never made love, no I never did it
But I sure know how to fuck
I'll be your bad girl, I'll prove it to you
I can't promise that I'll be good to you
Cause I had some issues, I won't commit
No, not having it
But at least I can admit that I'll be bad noooooo to you (to you)
Yeah, I'll be good in bed, but I'll be bad to you
Bad that I never made love, no I never did it
But I sure know how to fuck

Hold up
Bad girls ain't no good, and the good girls ain't no fun
Look (And the bad girls want a real nigga)
Yeah, cause real niggas just want (haaaaa)
So it seems that we caught up in the wrong thing
Got a thing for a queen who don't wanna leave
You got a (thing for a king, but you ain't a king)
Seems like the ones who roam never got a ring
And I can see that you're (bad, no to you)
In the literal sense, I mean the physical sense
I mean the, oops, wait, let me give me a second
I need a minute to vent, I'm only telling you that
I heard you (bad girl)
And I'm tellin' you I could believe that
Not the type of fella to yell or be gettin' jealous
But we talkin' 'bout game, Wale got the league pass
We at that bed, floor, couch, hold up
(Loud pack boy, roll up)
You know what's up? (Wassup?)
Forget it, 'cause all the bad girls always unapologetic

Is it bad that I never made love, no I never did it
But I sure know how to fuck
I'll be your bad girl, I'll prove it to you
I can't promise that I'll be good to you
Cause I had some issues, I won't commit
No, not having it
But at least I can admit that I'll be bad noooooo to you (to you)
Yeah, I'll be good in bed, but I'll be bad to you
Bad that I never made love, no I never did it
But I sure know how to fuck
She hurt feelings, she ain't wrong
She work hard, she play harder
Got a smart mouth, like a speed fly
She don't catch feelings she too busy catching G5
She no saint, 'cept Saint Laurent
Gone blaze up, take the wheel Jah
And Rihanna got these women in they River's Island
I'm just tryin' to take a dip ya (splashhhh)
Never did terrible bullshit ya
Enough with concerns, she try and live it up
No more sucker for love, she probably duck it because
You try to follow your gut feeling you get lost
(Cause I've had some issues) Yeah and I noticed it
You got the coldest corazon, but warmer skin
You froze with it, you try and play Sub Zero I be Scorpion
Pshh get over here today
Smellin' like Jean Paul Gaultier
Got about three friends, she don't even tweet them
Ain't no IG, but she follow K
And we at that bed, floor, couch, hold up
(Loud pack boy, roll up)
You know what's up? (Wassup?)
Forget it, all these bad bitches always unapologetic

Is it bad that I never made love, no I never did it
But I sure know how to fuck
I'll be your bad girl, I'll prove it to you
I can't promise that I'll be good to you
Cause I had some issues, I won't commit
No, not having it
But at least I can admit that I'll be bad noooooo to you (to you)
Yeah, I'll be good in bed, but I'll be bad to you
Bad that I never made love, no I never did it
But I sure know how to fuck",3375.0,bad (feat. rihanna) - remix,wale
Scream & Shout,will.i.am,"140 ContributorsScream & Shout LyricsOn “Scream & Shout,” a robotized, vaguely British-sounding Britney Spears joins will.i.am for a bumping EDM dance party. The up-tempo track reached #3 on the Billboard Hot 100 and became the first song to top… Read More 
(Bring the action)
When you hear this in the club
You're gonna turn this shit up
You're gonna turn this shit up
You're gonna turn this shit up
When we up in the club
All eyes on us
All eyes on us
All eyes on us

See the boys in the club
They watchin' us
They watchin' us
They watchin' us
Everybody in the club
All eyes on us
All eyes on us
All eyes on us

I wanna scream and shout
And let it all out
And scream and shout
And let it out
We sayin' ""Oh-we-oh, we-oh-we-oh""
We sayin' ""Oh-we-oh, we-oh-we-oh""
I wanna scream and shout
And let it all out
And scream and shout
And let it out
We sayin' ""Oh-we-oh, we-oh-we-oh""

You are now-now rockin' with
​​will.i.am and Britney, bitch

Aw, yeah (Yeah, yeah, yeah, yeah)
Aw, yeah (Yeah, yeah, yeah, yeah)
Aw, yeah (Yeah, yeah, yeah, yeah)

(Bring the action)
Rock and roll
Everybody, let's lose control
On the bottom, we let it go
Goin' fast, we ain't goin' slow, no, no
Ay, yo
Hear the beat, now let's hit the floor
Drink it up and then drink some more
Light it up and let's let it blow, blow, blow
Ay, yo
Rock it out, rockin' now
If you know what we talkin' 'bout
Turn it up and burn down the house, hou-house
Ay, yo
Turn it up and don't turn it down
Here we go, we gon' shake the ground
'Cause everywhere that we go, we

(Bring the action)
When you hear this in the club
You're gonna turn this shit up
You're gonna turn this shit up
You're gonna turn this shit up
When we up in the club
All eyes on us
All eyes on us
All eyes on us

You see them girls in the club?
They lookin' at us
They lookin' at us
They lookin' at us
Everybody in the club
All eyes on us
All eyes on us
All eyes on us

I wanna scream and shout
And let it all out
And scream and shout
And let it out
We sayin' ""Oh-we-oh, we-oh-we-oh""
We sayin' ""Oh-we-oh, we-oh-we-oh""
I wanna scream and shout
And let it all out
And scream and shout
And let it out
We sayin' ""Oh-we-oh, we-oh-we-oh""

You are now-now rockin' with
​​will.i.am and Britney, bitch

Aw, yeah (Yeah, yeah, yeah, yeah)
Aw, yeah (Yeah, yeah, yeah, yeah)
Aw, yeah (Yeah, yeah, yeah, yeah)

It goes on and on and on and on
When me and you party together
I wish this night would last forever
'Cause I was feelin' down, now I'm feelin' better
And maybe it goes on and on and on and on
When me and you party together
I wish this night would last forever
Forever, forever, forever, forever, forever

I wanna scream, and shout
And let it all out
And scream, and shout
And let it out
We sayin' ""Oh-we-oh, we-oh-we-oh""
We sayin' ""Oh-we-oh, we-oh-we-oh""
I wanna scream, and shout
And let it all out
And scream, and shout
And let it out
We sayin' ""Oh-we-oh, we-oh-we-oh""
We sayin' ""Oh-we-oh, we-oh-we-oh""
I wanna scream and shout
And let it all out
And scream and shout
And let it out
We sayin' ""Oh-we-oh, we-oh-we-oh""

You are now-now rockin' with
​​will.i.am and Britney, bitch",3100.0,scream and shout,will.i.am
#thatPOWER,will.i.am,"72 ContributorsTranslationsPortuguês#thatPOWER LyricsIn You and Me’s place – which leaked before the release of #willpower – the duo of will and Bieber come back with another dance track.

And, oh
I'm alive, I'm alive, I'm alive
And, oh
I can fly, I can fly, I can fly (Fly)
And, oh
I'm alive, I'm alive, I'm alive
And I'm lovin' every second, minute, hour
Bigger, better, stronger, power

I got that power
I got that power
I got that power
Power, power, power

They call me Will-A
Stay so cool, I'm chilly
I done made that milli'
On my way to that billi'
Used to have a piggy bank
But now I got that bigger bank
Who-who cares what the haters think?
They hatin' on me cause I'm doin' what they can't
I stay on that hustle
I flex that mental muscle
Hate to bust your bubble
I'm on that other level

I'ma take it higher
And high, high and higher
I stay in fly attire
Keep burnin' like that fire

And, oh
I'm alive, I'm alive, I'm alive
And, oh (Oh)
I can fly, I can fly, I can fly (Fly)
And, oh
I'm alive, I'm alive, I'm alive
And I'm lovin' every second, minute, hour
Bigger, better, stronger, power

I got that power
I got that power
I got that power
Power, power, power

Y-y-y-yes, y'all
Feelin' funky fresh, y'all
Work to be the best, y'all
Work good under pressure
Been through all that stress, y'all
Get-get this off my chest, y'all
Made it out them projects with this project
That's progress, y'all
I did it for my momma
I told her when I was younger
That I'ma be that number one
Yup, I'll be that number one

I take it higher
And high, high and higher
I stay and buy attire
Keep burnin' like that fire (Fire, fire)

Whatever doesn't kill you
Only makes you stronger
So I'ma get stronger
Comin' like a batterram, batterram
I'm knockin'-knockin' down the door again, door again
Comin'-comin' like a batterram, batterram
I'm knockin'-knockin' down the door again, door again

And, oh
I'm alive, I'm alive, I'm alive
And, oh (Oh)
I can fly, I can fly, I can fly (Fly)
And, oh
I'm alive, I'm alive, I'm alive
And I'm lovin' every second, minute, hour
Bigger, better, stronger, power

I got that power
I got that power
I got that power
Power, power, power

And I'm lovin' every second, minute, hour
Bigger, better, stronger, power
And I'm lovin' every second, minute, hour
Bigger, better, stronger, power",2304.0,#thatpower,will.i.am
The Fox (What Does the Fox Say?),Ylvis,"98 ContributorsTranslationsFrançais한국어 (Korean)The Fox (What Does The Fox Say?) LyricsTwo Norwegian talk show hosts, Bård Ylvisåker and Vegard Ylvisåker produced and sing what is likely to become the hit of the summer – love it or hate it.

Update (Oct 16) – the song has reached as high as… Read More 
Dog goes ""woof"", cat goes ""meow""
Bird goes ""tweet"" and mouse goes ""squeak""
Cow goes ""moo"", frog goes ""croak""
And the elephant goes ""toot""

Ducks say ""quack"" and fish go ""blub""
And the seal goes ""ow ow ow""
But there's one sound that no one knows

What does the fox say?
""Ring-ding-ding-ding-dingeringeding!
Gering-ding-ding-ding-dingeringeding!
Gering-ding-ding-ding-dingeringeding!""
What the fox say?
""Wa-pa-pa-pa-pa-pa-pow!
Wa-pa-pa-pa-pa-pa-pow!
Wa-pa-pa-pa-pa-pa-pow!""
What the fox say?
""Hatee-hatee-hatee-ho!
Hatee-hatee-hatee-ho!
Hatee-hatee-hatee-ho!""
What the fox say?
""Joff-tchoff-tchoffo-tchoffo-tchoff!
Tchoff-tchoff-tchoffo-tchoffo-tchoff!
Joff-tchoff-tchoffo-tchoffo-tchoff!""
What the fox say?

Big blue eyes, pointy nose
Chasing mice and digging holes
Tiny paws up the hill
Suddenly you're standing still

Your fur is red, so beautiful
Like an angel in disguise
But if you meet a friendly horse
Will you communicate by
Mo-o-o-o-orse?
Mo-o-o-o-orse?
Mo-o-o-o-orse?
How will you speak to that
Ho-o-o-o-orse?
Ho-o-o-o-orse?
Ho-o-o-o-orse?

What does the fox say?
""Jacha-chacha-chacha-chow!
Chacha-chacha-chacha-chow!
Chacha-chacha-chacha-chow!""
What the fox say?
""Fraka-kaka-kaka-kaka-kow!
Fraka-kaka-kaka-kaka-kow!
Fraka-kaka-kaka-kaka-kow!""
What the fox say?
""A-hee-ahee ha-hee!
A-hee-ahee ha-hee!
A-hee-ahee ha-hee!""
What the fox say?
""A-oo-oo-oo-ooo! Woo-oo-oo-ooo!""
What does the fox say?

The secret of the fox, ancient mystery
Somewhere deep in the woods
I know you're hiding
What is your sound? Will we ever know?
Will always be a mystery
What do you say?

You're my guardian angel hiding in the woods
What is your sound?
(Wa-wa-way-do Wub-wid-bid-dum-way-do Wa-wa-way-do)
Will we ever know?
(Bay-budabud-dum-bam)
I want to
(Mama-dum-day-do)
I want to, I want to know!
(Abay-ba-da bum-bum bay-do la)",2120.0,the fox (what does the fox say?),ylvis
Clarity,Zedd,"112 ContributorsTranslationsEspañolDeutschClarity Lyrics“Clarity” is about lovers knowing their relationship is doomed to fail from the start, but embarking on it anyway.
At the 56th Grammy Awards, “Clarity” won a Grammy Award for the Best Dance Recording.
It… Read More 
High dive into frozen waves
Where the past comes back to life
Fight fear for the selfish pain
It was worth it every time
Hold still right before we crash
'Cause we both know how this ends
Our clock ticks till it breaks your glass
And I drown in you again

'Cause you are the piece of me
I wish I didn't need
Chasing relentlessly
Still fight and I don't know why
If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?

If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?

Walk on through a red parade
And refuse to make amends
It cuts deep through our ground
And makes us forget all common sense
Don't speak as I try to leave
'Cause we both know what we'll choose
If you pull, then I'll push too deep
And I'll fall right back to you

'Cause you are the piece of me
I wish I didn't need
Chasing relentlessly
Still fight and I don't know why

If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?

Why are you my clarity?
Why are you my remedy?
Why are you my clarity?
Why are you my remedy

If our love is tragedy
Why are you my remedy?
If our love's insanity
Why are you my clarity?",1471.0,clarity,zedd
